Country,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value
Liberia,5.5737,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13000000,1036000000,29,0,4500,0,2226923,4809768,111369,579.0,0,1667.0
Libya,1.3696,114,17,2,4,62,26,7,250,450,50,100,55,5.0,0.0,0.0,0.0,1.0,3000000000,3020000000,146,897100,315000,48360000000,3552871,6754507,1759540,1770.0,0,4339.0
Lithuania,1.4752,10,0,0,5,0,5,0,0,420,56,54,0,12.0,0.0,0.0,0.0,0.0,1107000000,34480000000,61,2000,72400,12000000,1779322,2793284,65300,90.0,441,1545.0
Madagascar,3.0869,6,0,0,0,0,6,0,12,103,0,25,0,8.0,0.0,0.0,0.0,0.0,115000000,4089000000,83,0,18500,0,10145026,25683610,587040,4828.0,600,
Malaysia,0.6546,170,26,13,18,40,65,0,74,1387,0,211,54,61.0,0.0,2.0,0.0,6.0,4000000000,217200000000,114,647900,835000,3600000000,15201837,31809660,329847,4675.0,7200,2742.0
Mali,1.8941,29,9,0,6,5,8,6,80,248,0,50,32,,,,,,70000000,4192000000,25,0,5500,0,5991557,18429893,1240192,,0,7908.0
Mauritania,3.0477,28,0,2,6,9,4,0,35,95,0,224,0,5.0,0.0,0.0,0.0,0.0,50250000,4150000000,30,4000,18500,20000000,1555374,3840429,1030700,754.0,0,5002.0
Mexico,0.6065,484,3,33,43,206,202,0,0,2199,0,265,0,189.0,0.0,0.0,0.0,4.0,7000000000,445800000000,1714,1981000,2000000,7640000000,60460418,125959205,1964375,9330.0,2900,4389.0
Moldova,2.1291,3,0,0,1,0,2,0,0,341,9,52,11,,,,,,30000000,6549000000,7,0,16320,0,2014503,3437720,33851,,558,1885.0
Mongolia,2.0299,9,0,0,3,0,6,0,470,750,0,300,130,,,,,,155000000,25330000000,44,20000,25000,0,1818609,3103428,1564116,,580,8082.0
Montenegro,2.9941,9,0,0,0,0,9,0,0,26,0,12,18,18.0,0.0,0.0,0.0,2.0,65000000,2516000000,5,0,4860,0,146191,614249,13812,294.0,0,680.0
Morocco,0.8408,214,46,0,31,67,64,0,1443,2901,505,200,144,121.0,0.0,0.0,0.0,3.0,10000000000,51480000000,55,160,206000,684000,17157065,34314130,446550,1835.0,0,2363.0
Mozambique,2.3364,16,8,0,1,1,6,2,100,335,0,260,12,8.0,0.0,0.0,0.0,0.0,245000000,10910000000,98,0,22500,0,4629744,27233789,799380,2470.0,460,4783.0
Myanmar,0.5691,276,59,21,27,82,86,9,434,1300,108,1612,84,187.0,0.0,1.0,0.0,5.0,2650000000,6594000000,64,12000,42600,139000000,30258643,55622506,676578,1930.0,12800,6522.0
Namibia,3.2817,30,6,0,3,14,7,2,7,410,0,50,4,8.0,0.0,0.0,0.0,0.0,505000000,7969000000,112,0,25000,0,582642,2533224,824292,1572.0,0,4220.0
Nepal,2.9891,16,0,0,3,0,13,0,0,214,0,84,0,,,,,,213000000,5849000000,47,0,20000,0,14739923,29717587,147181,,0,3159.0
Netherlands,0.5919,168,61,1,4,27,75,28,18,1546,57,160,0,63.0,0.0,4.0,0.0,6.0,12419000000,4063000000000,29,18170,840000,113200000,7820960,17151228,41543,451.0,6237,1053.0
New Zealand,1.3684,48,0,0,7,13,22,0,0,200,0,24,0,11.0,0.0,0.0,0.0,2.0,4300000000,91620000000,123,31480,150000,56900000,2115989,4545627,267710,15134.0,0,
Nicaragua,2.2747,19,0,0,5,1,14,0,104,265,0,654,163,30.0,0.0,0.0,0.0,0.0,140000000,11310000000,147,0,35000,0,3030436,6085213,130370,910.0,2220,1253.0
Niger,2.0153,16,0,2,5,0,7,1,0,182,0,0,0,,,,,,325000000,3728000000,30,11000,6500,150000000,6754519,19866231,1267000,,300,5834.0
Nigeria,0.6485,129,8,13,21,47,44,15,253,1789,25,339,36,75.0,0.0,0.0,0.0,0.0,2155000000,40960000000,54,1946000,275000,37060000000,77108499,203452505,923768,853.0,8600,4477.0
North Korea,0.3718,949,458,114,4,169,204,20,6045,10000,800,1000,2110,984.0,0.0,83.0,0.0,11.0,1600000000,5000000000,82,0,15500,0,13045878,25381085,120538,2495.0,2250,1607.0
North Macedonia,3.1808,20,0,0,0,10,14,4,31,251,0,144,24,,,,,,108152512,8790000000,10,0,18500,0,1053116,2118945,25713,,280,838.0
Norway,0.5277,150,59,15,4,32,47,0,52,730,80,0,12,62.0,0.0,6.0,0.0,4.0,7179000000,642300000000,95,1618000,260000,6611000000,2170365,5372191,323802,25148.0,1577,2566.0
Oman,1.2514,131,29,10,9,46,42,0,117,761,39,144,12,16.0,0.0,0.0,0.0,0.0,8686000000,46270000000,132,970400,100000,5373000000,1764529,3494116,309500,2092.0,0,1561.0
Pakistan,0.2364,1372,356,90,49,513,346,56,2200,7330,429,1226,100,100.0,0.0,8.0,0.0,9.0,11400000000,82190000000,151,89720,575000,350600000,96344277,207862518,796095,1046.0,25220,7257.0
Panama,3.6537,39,0,0,11,4,23,0,0,65,0,0,0,20.0,0.0,0.0,0.0,0.0,500000000,91530000000,117,0,100000,0,1759698,3800644,75420,2490.0,800,687.0
Paraguay,2.1898,33,0,0,6,15,11,0,13,63,0,108,0,40.0,0.0,0.0,0.0,0.0,250000000,17700000000,799,0,30000,0,3372366,7025763,406752,,3100,4655.0
Peru,0.6219,273,17,38,40,77,99,16,146,552,24,231,70,60.0,0.0,5.0,0.0,7.0,2560000000,66250000000,191,43520,210000,473000000,15352302,31331228,1285216,2414.0,8808,7062.0
Philippines,0.7852,171,0,19,23,24,97,0,7,513,0,286,0,103.0,0.0,0.0,0.0,2.0,3470000000,76180000000,247,15000,320000,138500000,51887757,105893381,300000,36289.0,3219,
Poland,0.3397,457,91,0,49,104,176,30,1069,2547,547,0,180,87.0,0.0,3.0,0.0,2.0,12000000000,241000000000,126,20070,585000,137800000,18826137,38420687,312685,440.0,3997,2845.0
Portugal,0.8612,90,24,0,11,18,23,0,133,756,18,61,0,41.0,0.0,2.0,0.0,5.0,3358000000,449000000000,64,0,265000,0,4804949,10355493,92090,1793.0,210,1224.0
Qatar,1.6703,123,24,6,12,35,46,3,92,250,46,12,15,86.0,0.0,0.0,0.0,0.0,6000000000,167800000000,6,1500000,190000,25240000000,612164,2363569,11586,563.0,0,87.0
Republic of the Congo,2.9509,13,2,0,3,0,8,1,86,225,0,0,6,6.0,0.0,0.0,0.0,0.0,715000000,4605000000,27,244200,185000,1600000000,1938754,5062021,342000,169.0,1120,5008.0
Romania,0.6177,143,26,0,12,41,62,0,943,1369,0,808,243,48.0,0.0,0.0,0.0,3.0,5050000000,95970000000,45,73740,240000,600000000,11007501,21457116,238391,225.0,1731,2844.0
Russia,0.0681,4163,873,742,424,497,1522,531,12950,27038,6083,4465,3860,603.0,1.0,62.0,16.0,10.0,48000000000,539600000000,1218,10580000,3225000,80000000000,69640160,142122776,17098242,37653.0,102000,22408.0
Saudi Arabia,0.3034,879,270,81,49,208,283,34,1062,12825,705,1818,122,55.0,0.0,0.0,0.0,3.0,67600000000,205100000000,214,10130000,4000000,266500000000,17703745,33091113,2149690,2640.0,0,4272.0
Serbia,0.9479,109,9,17,1,38,44,0,293,904,87,144,88,19.0,0.0,0.0,0.0,0.0,907000000,29500000000,26,18740,75000,77500000,3468274,7078110,77474,,587,2322.0
Sierra Leone,4.2063,5,0,0,0,0,5,2,0,13,0,0,0,10.0,0.0,0.0,0.0,0.0,75500000,1615000000,8,0,9500,0,1432872,6312212,71740,402.0,800,1093.0
Singapore,0.7966,235,100,0,9,36,77,17,180,3000,48,77,24,40.0,0.0,0.0,0.0,6.0,11200000000,566100000000,9,0,1340000,0,4017314,5995991,697,193.0,10,
Slovakia,0.8466,47,10,0,7,8,21,0,20,661,16,9,25,0.0,,,,,2121817575,75040000000,35,200,82000,9000000,2776970,5445040,49035,,172,1587.0
Slovenia,1.9496,38,0,0,3,23,16,0,44,269,0,63,0,2.0,0.0,0.0,0.0,0.0,581000000,46300000000,16,5,55000,0,1002714,2102126,20273,47.0,0,1211.0
Somalia,4.6404,0,0,0,0,0,0,0,10,100,0,30,10,3.0,0.0,0.0,0.0,0.0,62200000,5300000000,61,0,6200,0,2702167,11259029,637657,3025.0,0,2385.0
South Africa,0.4985,226,17,0,23,88,91,12,195,2000,43,72,50,30.0,0.0,3.0,0.0,4.0,4278000000,156300000000,566,2000,605000,15000000,26250220,55380210,1219090,2798.0,0,5244.0
South Korea,0.1509,1649,414,71,41,298,803,112,2614,14000,3040,3854,575,234.0,,,,,44000000000,384600000000,111,0,2800000,0,25709049,51418097,99720,2413.0,1600,237.0
South Sudan,2.3501,19,0,0,2,0,17,6,110,200,24,0,14,0.0,2.0,22.0,12.0,18.0,80000000,2250000000,85,150200,60000,3750000000,5245155,10204581,644329,,0,6018.0
Spain,0.3388,512,137,12,46,162,162,19,327,2023,95,140,0,77.0,1.0,3.0,0.0,11.0,15100000000,2094000000000,150,2252,1226000,150000000,23136275,49331076,505370,4964.0,1000,1953.0
Sri Lanka,1.4661,77,0,0,15,6,54,9,202,570,0,209,22,40.0,0.0,0.0,0.0,0.0,2500000000,51720000000,19,0,90000,0,10927071,22576592,65610,1340.0,160,
Sudan,1.3017,190,46,38,22,11,73,43,690,400,10,0,0,18.0,0.0,0.0,0.0,0.0,2470000000,56050000000,74,102300,96800,5000000000,24061430,43120843,1861484,853.0,1723,6819.0
Suriname,4.6042,3,0,0,0,0,3,0,0,66,0,0,0,3.0,0.0,0.0,0.0,0.0,63000000,1700000000,55,17000,15100,83980000,132740,597927,163820,386.0,1200,1907.0
Sweden,0.5304,204,71,0,6,69,53,0,126,1036,88,0,0,63.0,0.0,5.0,0.0,0.0,6326923600,939900000000,231,0,320000,0,4116808,10040995,450295,3218.0,2052,2211.0
Switzerland,0.5259,169,54,0,18,54,42,0,326,1338,224,0,0,0.0,,,,,5000000000,1664000000000,63,0,260000,0,3632250,8292809,41277,,1299,1770.0
Syria,0.8241,456,199,20,5,67,165,27,4135,5370,575,2550,750,56.0,0.0,0.0,0.0,2.0,1800000000,4989000000,90,14000,260000,2500000000,12450728,19454263,185180,193.0,900,2363.0
Taiwan,0.4008,744,289,0,19,207,210,91,1180,2000,482,1160,115,117.0,0.0,4.0,4.0,22.0,10725000000,181900000000,37,196,1032000,2380000,12196809,23545963,35980,1566.0,3720,
Tajikistan,1.8661,25,0,0,1,4,20,6,253,347,0,90,128,0.0,,,,,1600000000,5750000000,24,180,20500,12000000,4095924,8604882,143100,,200,4130.0
Tanzania,2.0651,34,14,0,6,8,6,0,156,70,0,12,0,19.0,0.0,0.0,0.0,0.0,223000000,17660000000,166,0,46000,0,10258498,55451343,947300,1424.0,0,4161.0
Thailand,0.3571,570,75,19,48,154,307,7,841,1416,20,776,25,292.0,1.0,0.0,0.0,7.0,7100000000,132000000000,101,239700,1345000,396400000,35543014,68615858,513120,3219.0,4000,5673.0
Tunisia,1.4619,147,12,0,14,29,92,0,181,878,20,165,0,50.0,0.0,0.0,0.0,0.0,550000000,30190000000,29,49170,90500,425000000,5850224,11516189,163610,1148.0,0,1495.0
Turkey,0.2098,1055,206,0,80,276,497,100,2622,8777,1278,1260,438,149.0,0.0,12.0,0.0,16.0,19000000000,452400000000,98,245000,845000,388500000,41847478,81257239,783562,7200.0,1200,2816.0
Turkmenistan,1.3292,72,24,20,3,0,25,10,712,2000,68,269,116,4.0,0.0,0.0,0.0,0.0,200000000,539400000,26,230880,150000,600000000,2797493,5411012,488100,1768.0,1300,4158.0
Uganda,1.6176,48,10,0,2,10,26,5,371,1081,6,53,26,8.0,0.0,0.0,0.0,0.0,935000000,10800000000,47,0,17500,2500000000,14707350,40853749,241038,,0,2729.0
Ukraine,0.4457,297,48,25,32,76,121,34,2026,10135,738,2040,430,25.0,0.0,0.0,0.0,1.0,5400000000,130000000000,187,29650,325000,395000000,22195911,43952299,603550,2782.0,2150,5618.0
United Arab Emirates,0.7034,538,98,20,40,145,229,30,434,8691,183,76,72,75.0,0.0,0.0,0.0,0.0,22755000000,237600000000,43,3174000,575000,97800000000,5820789,9701315,83600,1318.0,0,1066.0
United Kingdom,0.1717,733,133,15,44,241,312,49,227,5000,89,126,35,88.0,2.0,10.0,6.0,13.0,55100000000,8126000000000,460,910500,1600000,2564000000,29948413,65105246,243610,12429.0,3200,443.0
United States,0.0606,13264,2085,715,945,2643,5768,967,6289,39253,1465,2740,1366,490.0,20.0,66.0,91.0,0.0,750000000000,17910000000000,13513,9352000,20000000,36520000000,144872845,329256465,9826675,19924.0,41009,12048.0
Uruguay,1.8909,50,0,7,9,16,13,0,78,463,0,0,4,20.0,0.0,0.0,0.0,1.0,4950000000,28370000000,133,0,55600,0,1549878,3369299,176215,660.0,1600,1591.0
Uzbekistan,0.8086,185,66,20,18,2,79,25,420,1215,137,0,98,0.0,,,,,975000000,16900000000,53,46070,142000,594000000,15912566,30023709,447400,420.0,1100,6893.0
Venezuela,0.6449,260,38,0,52,82,86,10,390,600,73,104,36,49.0,0.0,2.0,0.0,4.0,745000000,100300000000,444,2007000,575000,300900000000,14260129,31689176,912050,2800.0,7100,5267.0
Vietnam,0.3559,293,77,0,38,36,138,25,2615,2530,70,1000,85,65.0,0.0,6.0,0.0,9.0,5500000000,96580000000,45,271400,525000,4400000000,51043216,97040334,331210,3444.0,17702,4616.0
Yemen,1.2412,169,77,0,8,21,61,14,620,615,20,85,150,30.0,0.0,0.0,0.0,0.0,1400000000,7068000000,57,12260,145000,3000000000,11266221,28667230,527968,1906.0,0,1601.0
Zambia,1.6464,108,18,0,11,52,27,0,75,184,0,42,50,0.0,0.0,0.0,0.0,0.0,40000000,11660000000,88,0,21000,0,6166905,16445079,752618,,2250,6043.0
Zimbabwe,1.7577,90,10,0,14,38,28,6,42,300,0,65,22,0.0,0.0,0.0,0.0,0.0,100000000,9357000000,196,0,19500,0,5584086,14030368,390757,,0,3229.0
