Country,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value
Greece,0.5311,566,187,0,15,143,231,29,1355,3691,547,463,152,116.0,0.0,11.0,0.0,13.0,"4,84,40,00,000","5,06,60,00,00,000",77,2753,"3,50,000","1,00,00,000","49,93,347","1,07,61,523","1,31,957",13676,6,1110.0
Guatemala,1.8302,33,0,4,8,6,15,0,12,135,0,106,0,26.0,0.0,0.0,0.0,0.0,"24,00,00,000","22,92,00,00,000",291,9666,85000,"8,30,70,000","70,63,622","1,65,81,273","1,08,889",400,990,1667.0
Honduras,2.0943,46,3,9,11,10,12,0,19,92,0,176,0,59.0,0.0,0.0,0.0,0.0,"20,50,00,000","8,62,50,00,000",103,0,60000,0,"41,04,696","91,82,766","1,12,090",832,465,1575.0
Hungary,0.8215,47,12,0,5,6,24,8,30,944,0,300,0,,,,,,"2,08,00,00,000","1,38,10,00,00,000",41,14000,"1,45,000","2,51,00,000","46,18,081","98,25,704","1,03,000",,1622,2106.0
India,0.0953,2123,538,172,250,359,722,23,4292,8686,235,4060,266,285.0,1.0,16.0,10.0,13.0,"61,00,00,00,000","5,01,60,00,00,000",346,"7,33,900","50,00,000","4,62,10,00,000","62,24,80,340","1,29,68,34,042","32,87,263",7000,14500,13888.0
Indonesia,0.2544,462,41,39,54,109,177,16,313,1178,153,366,36,282.0,0.0,5.0,0.0,7.0,"7,60,00,00,000","3,44,40,00,00,000",673,"8,01,700","16,30,000","3,23,00,00,000","13,08,68,127","26,27,87,403","19,04,569",54716,21579,2958.0
Iran,0.2191,509,155,23,62,94,100,12,2056,4300,570,2088,1935,398.0,0.0,34.0,0.0,7.0,"19,60,00,00,000","7,99,50,00,000",319,"44,69,000","20,00,000","1,58,40,00,00,000","4,73,24,105","8,30,24,745","16,48,195",2440,850,5894.0
Iraq,0.7911,348,26,33,16,102,186,40,309,4739,44,120,30,60.0,0.0,0.0,0.0,0.0,"1,73,00,00,000","73,02,00,00,000",102,"44,54,000","8,25,000","1,42,50,00,00,000","1,63,99,240","4,01,94,216","4,38,317",58,5279,3809.0
Ireland,1.9481,19,0,0,0,8,8,0,0,124,0,0,0,8.0,0.0,0.0,0.0,0.0,"87,00,00,000","24,70,00,00,00,000",40,0,"1,45,000",0,"23,66,779","50,68,050",70273,1448,956,443.0
Israel,0.3111,589,259,18,15,154,146,48,2760,10275,650,300,100,65.0,0.0,5.0,0.0,0.0,"20,00,00,00,000","88,66,00,00,000",47,390,"2,50,000","1,27,30,000","36,47,983","84,24,904",20770,273,0,1068.0
Italy,0.2111,860,99,110,38,185,439,59,200,6947,54,108,21,249.0,2.0,8.0,4.0,12.0,"27,80,00,00,000","24,44,00,00,00,000",129,77530,"13,00,000","55,67,00,000","2,80,11,003","6,22,46,674","3,01,340",7600,2400,1836.0
Ivory Coast,2.0236,8,0,0,4,0,4,3,15,109,0,7,6,10.0,0.0,0.0,0.0,0.0,"55,00,00,000","13,07,00,00,000",27,54000,25600,"10,00,00,000","1,11,60,747","2,62,60,582","3,22,463",515,980,3458.0
Japan,0.1501,1561,279,12,60,427,637,119,1004,3130,238,500,99,155.0,4.0,20.0,40.0,0.0,"49,00,00,00,000","32,40,00,00,00,000",175,3841,"40,00,000","4,41,20,000","5,38,73,803","12,61,68,156","3,77,915",29751,1770,
Jordan,1.1441,278,44,4,16,75,146,47,1313,2897,461,72,88,37.0,0.0,0.0,0.0,0.0,"2,60,00,00,000","29,34,00,00,000",18,22,"1,10,000","10,00,000","33,46,692","1,04,58,413",89342,26,540,1744.0
Kazakhstan,0.9098,222,76,39,18,18,71,18,650,800,0,300,100,15.0,0.0,0.0,0.0,0.0,"4,00,00,00,000","1,67,50,00,00,000",96,"17,77,000","2,45,000","30,00,00,00,000","85,85,003","1,87,44,548","27,24,900",26,0,13364.0
Kenya,1.5287,150,17,0,20,32,79,0,76,479,30,25,0,19.0,0.0,0.0,0.0,0.0,"12,10,00,000","27,59,00,00,000",197,0,82000,0,"1,96,00,998","4,83,97,527","5,80,367",536,0,3457.0
Kuwait,1.5701,85,27,0,2,13,40,16,367,745,98,0,27,38.0,0.0,0.0,0.0,0.0,"6,83,10,00,000","47,24,00,00,000",7,"27,53,000","3,45,000","1,01,50,00,00,000","16,41,971","29,16,467",17818,499,0,475.0
Kyrgyzstan,1.9244,5,0,0,0,0,5,2,150,385,30,141,21,,,,,,"2,00,00,000","8,16,40,00,000",28,1000,17200,"4,00,00,000","30,29,935","58,49,296","1,99,951",,600,4573.0
Laos,3.4433,33,0,0,2,4,27,0,65,30,0,62,0,36.0,0.0,0.0,0.0,0.0,"1,85,00,000","14,90,00,00,000",41,0,4500,0,"32,48,143","72,34,171","2,36,800",,4600,5274.0
Latvia,2.0145,5,0,0,0,12,5,0,0,303,47,20,0,18.0,0.0,0.0,0.0,0.0,"72,40,00,000","40,02,00,00,000",42,0,32500,0,"8,40,595","19,23,559",64589,498,300,1370.0
Lebanon,2.5193,70,0,9,0,0,55,0,366,2228,12,374,30,57.0,0.0,0.0,0.0,0.0,"2,50,00,00,000","39,30,00,00,000",8,0,"1,10,000",0,"21,35,026","61,00,075",10400,225,170,484.0
Liberia,5.5737,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"1,30,00,000","1,03,60,00,000",29,0,4500,0,"22,26,923","48,09,768","1,11,369",579,0,1667.0
Libya,1.3696,114,17,2,4,62,26,7,250,450,50,100,55,5.0,0.0,0.0,0.0,1.0,"3,00,00,00,000","3,02,00,00,000",146,"8,97,100","3,15,000","48,36,00,00,000","35,52,871","67,54,507","17,59,540",1770,0,4339.0
Lithuania,1.4752,10,0,0,5,0,5,0,0,420,56,54,0,12.0,0.0,0.0,0.0,0.0,"1,10,70,00,000","34,48,00,00,000",61,2000,72400,"1,20,00,000","17,79,322","27,93,284",65300,90,441,1545.0
Madagascar,3.0869,6,0,0,0,0,6,0,12,103,0,25,0,8.0,0.0,0.0,0.0,0.0,"11,50,00,000","4,08,90,00,000",83,0,18500,0,"1,01,45,026","2,56,83,610","5,87,040",4828,600,
Malaysia,0.6546,170,26,13,18,40,65,0,74,1387,0,211,54,61.0,0.0,2.0,0.0,6.0,"4,00,00,00,000","2,17,20,00,00,000",114,"6,47,900","8,35,000","3,60,00,00,000","1,52,01,837","3,18,09,660","3,29,847",4675,7200,2742.0
Mali,1.8941,29,9,0,6,5,8,6,80,248,0,50,32,,,,,,"7,00,00,000","4,19,20,00,000",25,0,5500,0,"59,91,557","1,84,29,893","12,40,192",,0,7908.0
Mauritania,3.0477,28,0,2,6,9,4,0,35,95,0,224,0,5.0,0.0,0.0,0.0,0.0,"5,02,50,000","4,15,00,00,000",30,4000,18500,"2,00,00,000","15,55,374","38,40,429","10,30,700",754,0,5002.0
Mexico,0.6065,484,3,33,43,206,202,0,0,2199,0,265,0,189.0,0.0,0.0,0.0,4.0,"7,00,00,00,000","4,45,80,00,00,000",1714,"19,81,000","20,00,000","7,64,00,00,000","6,04,60,418","12,59,59,205","19,64,375",9330,2900,4389.0
Moldova,2.1291,3,0,0,1,0,2,0,0,341,9,52,11,,,,,,"3,00,00,000","6,54,90,00,000",7,0,16320,0,"20,14,503","34,37,720",33851,,558,1885.0
Mongolia,2.0299,9,0,0,3,0,6,0,470,750,0,300,130,,,,,,"15,50,00,000","25,33,00,00,000",44,20000,25000,0,"18,18,609","31,03,428","15,64,116",,580,8082.0
Montenegro,2.9941,9,0,0,0,0,9,0,0,26,0,12,18,18.0,0.0,0.0,0.0,2.0,"6,50,00,000","2,51,60,00,000",5,0,4860,0,"1,46,191","6,14,249",13812,294,0,680.0
Morocco,0.8408,214,46,0,31,67,64,0,1443,2901,505,200,144,121.0,0.0,0.0,0.0,3.0,"10,00,00,00,000","51,48,00,00,000",55,160,"2,06,000","6,84,000","1,71,57,065","3,43,14,130","4,46,550",1835,0,2363.0
