Country,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value
Sri Lanka,1.4661,77,0,0,15,6,54,9,202,570,0,209,22,40.0,0.0,0.0,0.0,0.0,"2,50,00,00,000","51,72,00,00,000",19,0,90000,0,"1,09,27,071","2,25,76,592",65610,1340,160,
Sudan,1.3017,190,46,38,22,11,73,43,690,400,10,0,0,18.0,0.0,0.0,0.0,0.0,"2,47,00,00,000","56,05,00,00,000",74,"1,02,300",96800,"5,00,00,00,000","2,40,61,430","4,31,20,843","18,61,484",853,1723,6819.0
Suriname,4.6042,3,0,0,0,0,3,0,0,66,0,0,0,3.0,0.0,0.0,0.0,0.0,"6,30,00,000","1,70,00,00,000",55,17000,15100,"8,39,80,000","1,32,740","5,97,927","1,63,820",386,1200,1907.0
Sweden,0.5304,204,71,0,6,69,53,0,126,1036,88,0,0,63.0,0.0,5.0,0.0,0.0,"6,32,69,23,600","9,39,90,00,00,000",231,0,"3,20,000",0,"41,16,808","1,00,40,995","4,50,295",3218,2052,2211.0
Switzerland,0.5259,169,54,0,18,54,42,0,326,1338,224,0,0,0.0,,,,,"5,00,00,00,000","16,64,00,00,00,000",63,0,"2,60,000",0,"36,32,250","82,92,809",41277,,1299,1770.0
Syria,0.8241,456,199,20,5,67,165,27,4135,5370,575,2550,750,56.0,0.0,0.0,0.0,2.0,"1,80,00,00,000","4,98,90,00,000",90,14000,"2,60,000","2,50,00,00,000","1,24,50,728","1,94,54,263","1,85,180",193,900,2363.0
Taiwan,0.4008,744,289,0,19,207,210,91,1180,2000,482,1160,115,117.0,0.0,4.0,4.0,22.0,"10,72,50,00,000","1,81,90,00,00,000",37,196,"10,32,000","23,80,000","1,21,96,809","2,35,45,963",35980,1566,3720,
Tajikistan,1.8661,25,0,0,1,4,20,6,253,347,0,90,128,0.0,,,,,"1,60,00,00,000","5,75,00,00,000",24,180,20500,"1,20,00,000","40,95,924","86,04,882","1,43,100",,200,4130.0
Tanzania,2.0651,34,14,0,6,8,6,0,156,70,0,12,0,19.0,0.0,0.0,0.0,0.0,"22,30,00,000","17,66,00,00,000",166,0,46000,0,"1,02,58,498","5,54,51,343","9,47,300",1424,0,4161.0
Thailand,0.3571,570,75,19,48,154,307,7,841,1416,20,776,25,292.0,1.0,0.0,0.0,7.0,"7,10,00,00,000","1,32,00,00,00,000",101,"2,39,700","13,45,000","39,64,00,000","3,55,43,014","6,86,15,858","5,13,120",3219,4000,5673.0
Tunisia,1.4619,147,12,0,14,29,92,0,181,878,20,165,0,50.0,0.0,0.0,0.0,0.0,"55,00,00,000","30,19,00,00,000",29,49170,90500,"42,50,00,000","58,50,224","1,15,16,189","1,63,610",1148,0,1495.0
Turkey,0.2098,1055,206,0,80,276,497,100,2622,8777,1278,1260,438,149.0,0.0,12.0,0.0,16.0,"19,00,00,00,000","4,52,40,00,00,000",98,"2,45,000","8,45,000","38,85,00,000","4,18,47,478","8,12,57,239","7,83,562",7200,1200,2816.0
Turkmenistan,1.3292,72,24,20,3,0,25,10,712,2000,68,269,116,4.0,0.0,0.0,0.0,0.0,"20,00,00,000","53,94,00,000",26,"2,30,880","1,50,000","60,00,00,000","27,97,493","54,11,012","4,88,100",1768,1300,4158.0
Uganda,1.6176,48,10,0,2,10,26,5,371,1081,6,53,26,8.0,0.0,0.0,0.0,0.0,"93,50,00,000","10,80,00,00,000",47,0,17500,"2,50,00,00,000","1,47,07,350","4,08,53,749","2,41,038",,0,2729.0
Ukraine,0.4457,297,48,25,32,76,121,34,2026,10135,738,2040,430,25.0,0.0,0.0,0.0,1.0,"5,40,00,00,000","1,30,00,00,00,000",187,29650,"3,25,000","39,50,00,000","2,21,95,911","4,39,52,299","6,03,550",2782,2150,5618.0
United Arab Emirates,0.7034,538,98,20,40,145,229,30,434,8691,183,76,72,75.0,0.0,0.0,0.0,0.0,"22,75,50,00,000","2,37,60,00,00,000",43,"31,74,000","5,75,000","97,80,00,00,000","58,20,789","97,01,315",83600,1318,0,1066.0
United Kingdom,0.1717,733,133,15,44,241,312,49,227,5000,89,126,35,88.0,2.0,10.0,6.0,13.0,"55,10,00,00,000","81,26,00,00,00,000",460,"9,10,500","16,00,000","2,56,40,00,000","2,99,48,413","6,51,05,246","2,43,610",12429,3200,443.0
United States,0.0606,13264,2085,715,945,2643,5768,967,6289,39253,1465,2740,1366,490.0,20.0,66.0,91.0,0.0,"7,50,00,00,00,000","1,79,10,00,00,00,000",13513,"93,52,000","2,00,00,000","36,52,00,00,000","14,48,72,845","32,92,56,465","98,26,675",19924,41009,12048.0
Uruguay,1.8909,50,0,7,9,16,13,0,78,463,0,0,4,20.0,0.0,0.0,0.0,1.0,"4,95,00,00,000","28,37,00,00,000",133,0,55600,0,"15,49,878","33,69,299","1,76,215",660,1600,1591.0
Uzbekistan,0.8086,185,66,20,18,2,79,25,420,1215,137,0,98,0.0,,,,,"97,50,00,000","16,90,00,00,000",53,46070,"1,42,000","59,40,00,000","1,59,12,566","3,00,23,709","4,47,400",420,1100,6893.0
Venezuela,0.6449,260,38,0,52,82,86,10,390,600,73,104,36,49.0,0.0,2.0,0.0,4.0,"74,50,00,000","1,00,30,00,00,000",444,"20,07,000","5,75,000","3,00,90,00,00,000","1,42,60,129","3,16,89,176","9,12,050",2800,7100,5267.0
Vietnam,0.3559,293,77,0,38,36,138,25,2615,2530,70,1000,85,65.0,0.0,6.0,0.0,9.0,"5,50,00,00,000","96,58,00,00,000",45,"2,71,400","5,25,000","4,40,00,00,000","5,10,43,216","9,70,40,334","3,31,210",3444,17702,4616.0
Yemen,1.2412,169,77,0,8,21,61,14,620,615,20,85,150,30.0,0.0,0.0,0.0,0.0,"1,40,00,00,000","7,06,80,00,000",57,12260,"1,45,000","3,00,00,00,000","1,12,66,221","2,86,67,230","5,27,968",1906,0,1601.0
Zambia,1.6464,108,18,0,11,52,27,0,75,184,0,42,50,0.0,0.0,0.0,0.0,0.0,"4,00,00,000","11,66,00,00,000",88,0,21000,0,"61,66,905","1,64,45,079","7,52,618",,2250,6043.0
Zimbabwe,1.7577,90,10,0,14,38,28,6,42,300,0,65,22,0.0,0.0,0.0,0.0,0.0,"10,00,00,000","9,35,70,00,000",196,0,19500,0,"55,84,086","1,40,30,368","3,90,757",,0,3229.0
